location,gender,religion,population
London,Female,No religion,25.052079
London,Male,No religion,29.173066
South East,Female,No religion,37.045404
South East,Male,No religion,43.566166
South West,Female,No religion,40.766774
South West,Male,No religion,47.548156
Isle of Anglesey,Female,No religion,37.819421
Isle of Anglesey,Male,No religion,43.820559
Gwynedd,Female,No religion,40.896943
Gwynedd,Male,No religion,47.727075
Wrexham,Female,No religion,38.962561
Wrexham,Male,No religion,44.691986
Ceredigion,Female,No religion,39.687757
Ceredigion,Male,No religion,46.496997
Swansea,Female,No religion,44.132600
Swansea,Male,No religion,50.457350
Cardiff,Female,No religion,40.198959
Cardiff,Male,No religion,45.821318
Newport,Female,No religion,40.190945
Newport,Male,No religion,45.824302
Powys,Female,No religion,38.427333
Powys,Male,No religion,45.730594
England,Female,Sikh,0.900786
England,Male,Sikh,0.941411
Wales,Female,Sikh,0.125749
Wales,Male,Sikh,0.135108
North East,Female,Sikh,0.261891
North East,Male,Sikh,0.282975
North West,Female,Sikh,0.154345
North West,Male,Sikh,0.165653
Yorkshire and The Humber,Female,Sikh,0.432534
Yorkshire and The Humber,Male,Sikh,0.444760
East Midlands,Female,Sikh,1.086215
East Midlands,Male,Sikh,1.125434
West Midlands,Female,Sikh,2.846827
West Midlands,Male,Sikh,2.948872
East of England,Female,Sikh,0.374989
East of England,Male,Sikh,0.392021
London,Female,Sikh,1.589718
London,Male,Sikh,1.698759
South East,Female,Sikh,0.790281
South East,Male,Sikh,0.812911
South West,Female,Sikh,0.127252
South West,Male,Sikh,0.134785
Isle of Anglesey,Female,Sikh,0.028393
Isle of Anglesey,Male,Sikh,0.059418
Gwynedd,Female,Sikh,0.033406
Gwynedd,Male,Sikh,0.043459
Wrexham,Female,Sikh,0.058612
Wrexham,Male,Sikh,0.059809
Ceredigion,Female,Sikh,0.041085
Ceredigion,Male,Sikh,0.057192
Swansea,Female,Sikh,0.136403
Swansea,Male,Sikh,0.153159
Cardiff,Female,Sikh,0.423260
Cardiff,Male,Sikh,0.415606
Newport,Female,Sikh,0.264860
Newport,Male,Sikh,0.255004
Powys,Female,Sikh,0.059290
Powys,Male,Sikh,0.045662
England,Female,Other religion,0.645460
England,Male,Other religion,0.528993
Wales,Female,Other religion,0.592818
Wales,Male,Other religion,0.428665
North East,Female,Other religion,0.425158
North East,Male,Other religion,0.324339
North West,Female,Other religion,0.421338
North West,Male,Other religion,0.334740
Yorkshire and The Humber,Female,Other religion,0.474982
Yorkshire and The Humber,Male,Other religion,0.385260
East Midlands,Female,Other religion,0.572669
East Midlands,Male,Other religion,0.442306
West Midlands,Female,Other religion,0.577370
West Midlands,Male,Other religion,0.490169
East of England,Female,Other religion,0.636289
East of England,Male,Other religion,0.509821
London,Female,Other religion,1.022261
London,Male,Other religion,0.947374
South East,Female,Other religion,0.648263
South East,Male,Other religion,0.514953
South West,Female,Other religion,0.753894
South West,Male,Other religion,0.535375
Isle of Anglesey,Female,Other religion,0.496877
Isle of Anglesey,Male,Other religion,0.297089
Gwynedd,Female,Other religion,0.759980
Gwynedd,Male,Other religion,0.547588
Wrexham,Female,Other religion,0.380980
Wrexham,Male,Other religion,0.381280
Ceredigion,Female,Other religion,1.136675
Ceredigion,Male,Other religion,0.757792
Swansea,Female,Other religion,0.545612
Swansea,Male,Other religion,0.438205
Cardiff,Female,Other religion,0.585016
Cardiff,Male,Other religion,0.531524
Newport,Female,Other religion,0.535879
Newport,Male,Other religion,0.388882
Powys,Female,Other religion,0.837471
Powys,Male,Other religion,0.563166
England,Female,Not answered,5.865686
England,Male,Not answered,6.180336
Wales,Female,Not answered,6.086707
Wales,Male,Not answered,6.474359
North East,Female,Not answered,4.825227
North East,Male,Not answered,5.259780
North West,Female,Not answered,5.097220
North West,Male,Not answered,5.503222
Yorkshire and The Humber,Female,Not answered,5.557934
Yorkshire and The Humber,Male,Not answered,5.887679
East Midlands,Female,Not answered,5.682502
East Midlands,Male,Not answered,6.079257
West Midlands,Female,Not answered,5.536701
West Midlands,Male,Not answered,5.886472
East of England,Female,Not answered,5.902552
East of England,Male,Not answered,6.246912
London,Female,Not answered,6.943212
London,Male,Not answered,7.052762
South East,Female,Not answered,5.941880
South East,Male,Not answered,6.272078
South West,Female,Not answered,6.296990
South West,Male,Not answered,6.610005
Isle of Anglesey,Female,Not answered,6.274844
Isle of Anglesey,Male,Not answered,6.639929
Gwynedd,Female,Not answered,7.023551
Gwynedd,Male,Not answered,7.483703
Wrexham,Female,Not answered,6.271522
Wrexham,Male,Not answered,6.818182
Ceredigion,Female,Not answered,7.655437
Ceredigion,Male,Not answered,7.678010
Swansea,Female,Not answered,6.348944
Swansea,Male,Not answered,7.066582
Cardiff,Female,Not answered,6.100882
Cardiff,Male,Not answered,6.545095
Newport,Female,Not answered,5.500462
Newport,Male,Not answered,5.756726
Powys,Female,Not answered,6.973987
Powys,Male,Not answered,7.465753
